codigo;descripcion;linea;sublinea;grupo;categoria;regla_aplicada;confianza;precio_prueba_cop
NIK-10402;BROCHA PROFESIONAL 2 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;84300
NIK-14010;BROCHA PROFESIONAL 1 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;68400
NIK-14015;BROCHA PROFESIONAL 1.5 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;121100
NIK-14023;BROCHA PROFESIONAL 3 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;190300
NIK-14024;BROCHA PROFESIONAL 4 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;137700
NIK-14025;BROCHA PROFESIONAL 2.5 PULG;BROCHAS;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;197300
NIK-00303;CINTA TEFLON 12MM X 0.075MM X 10M X 0.20G/CM3;CINTAS;CINTA TEFLON;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;214800
NIK-00304;CINTA TEFLON 19MM X 0.2MM X 15M X 0.20G/CM3;CINTAS;CINTA TEFLON;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;118600
NIK-12640P;"DISCO DE TRONZADORA PARA CORTE DE METAL DE 14"" EJE DE 1"" ESPESOR 3/32""";COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;12500
NIK-12862P;"DISCO FINO CORTE METAL & ACERO INOX T41 4-1/2"" X 0.045 ""X 7/8""";COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;58100
NIK-12865P;"DISCO FINO CORTE METAL & ACERO INOX. TIPO 41 7"" X 1/16 "" X 7/8""";COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;153900
NIK-12867P;"DISCO FINO CORTE METAL & ACERO INOX T41 9"" X .5/64 ""X 7/8""";COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;158600
NIK-COMBO1;COMBO NIK-M140 + NIK-15901 + NIK-AG3103;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;combo:3 componentes;media;284300
NIK-COMBOCAR1;COMBO CARNAVAL: MÁQUINA DE SOLDAR NIK-M140 + CARETA DE SOLDAR NIK-15901;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1354800
NIK-COMBOCAR2;COMBO CARNAVAL:MÁQUINA DE SOLDAR NIK-M200 + CARETA DE SOLDAR NIK-15902;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1432900
NIK-COMBOCAR3;COMBO CARNAVAL: MÁQUINA DE SOLDAR NIK-MIG200 + CARETA DE SOLDAR NIK-15903;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1631400
NIK-COMBODISCOS;COMBO DE DISCOS ABRASIVOS: INCLUYE 4-1/2¨, 7¨, 9¨Y 14¨;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Industriales;industrial;alta;15600
NIK-HERR1;4 NIK-HM5116 + 4 NIK-AG3103;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Eléctricas;combo:2 componentes;media;1302000
NIK-HERR2;2 NIK-HM5116 + 1 NIK-28700 + 4 NIK-AG3103 + 1 NIK-AG2830;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Eléctricas;combo:4 componentes;media;2439700
NIK-HERR3;NIK-HM5116 + NIK-HM9217 + NIK-CD1020 + NIK-CD1012 + NIK-AG3103 + NIK-AG2830;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Eléctricas;combo:6 componentes;media;1069200
NIK-HERR4;2 NIK-JS7701 + 2 NIK-HG1200 + 2 NIK-FS8410 + 2 NIK-BW6001;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Eléctricas;combo:4 componentes;media;3163400
NIK-PROM140;COMBO DE MAQUINA SOLDAR NIK-M140 + CARETA SOLDAR NIK-15902 + GUANTE PROWE-10-2112;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1574000
NIK-PROM200;COMBO DE MAQUINA SOLDAR NIK-M200 + CARETA SOLDAR NIK-15902 + GUANTE PROWE-10-2112;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1555300
NIK-PROM200E;COMBO DE MAQUINA SOLDAR NIK-MIG200E + CARETA SOLDAR NIK-15903;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1090300
NIK-PROM20W2;MÁQUINA DE SOLDAR NIK-MIG-20W2 + CARETA NIK-15901 + GUANTE PROWE-10-2112;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas de Soldadura;soldadura:careta;alta;1249500
NIK-PULDIS;6 NIK-AG3103 + 10 NIK-12862;COMBOS;COMBOS;GRUPO NIKATTO;Herramientas Eléctricas;combo:2 componentes;media;881500
LIHS-0107514230;"GRATA COPA LISA DE 3"" X M14 REF 0107514230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;224200
LIHS-0107558230;"GRATA COPA LISA DE 3"" EJE 5/8""";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;281800
LIHS-0110058230;"GRATA COPA LISA 4"" X 5/8"" 8.500 RPM REF. 0110058230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;211200
LIHS-0112558230;"GRATA COPA LISA 5"" X 5/8"" 6.500 RPM REF. 0112558230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;164100
LIHS-017330001;CEPILLO CURVO MANGO PLASTICO REF.017330001;CEPILLOS Y GRATAS;CEPILLOS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;212400
LIHS-0312530230;"GRATA CIRCULAR LISA 5"" 125 MM 8.500 RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;18800
LIHS-0315050230;"GRATA CIRCULAR LISA 6"" REF. 6.OOO RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;56700
LIHS-0320032230;"GRATA CIRCULAR LISA 8"" REF.0320032230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;127800
LIHS-0325050230;"GRATA CIRCULAR LISA 10"" 3.600 RPM REF. 0325050230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;56000
LIHS-04017062300;"GRATA TIPO ESCOBA 17M VASTAGO 1/4"" REF.04017 062300";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;103100
LIHS-04017062301;"GRATA TIPO ESCOBA 28MM VASTAGO 1/4"" REF. 04017062301";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;26800
LIHS-04025062300;"GRATA TIPO ESCOBA 25M VASTAGO 1/4"" REF. 04025062300";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;196500
LIHS-04028062300;"GRATA TIPO ESCOBA 28M VASTAGO 1/4"" REF. 04028062300";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;275600
LIHS-077133319;CEPILLO MADERA EN ACERO 3X19 REF.077133319;CEPILLOS Y GRATAS;CEPILLOS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;248600
LIHS-077430319;CEPILLO MADERA EN ACERO INOXIDABLE 3X19 REF.077430319;CEPILLOS Y GRATAS;CEPILLOS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;117000
LIHS-2106514135;"GRATA COPA ENTORCHADA 2.1/2"" X M14 X2";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;119500
LIHS-2106558150;"GRATA COPA ENTORCHADA 2.1/2"" X 5/8"" CALIBRE 0,50";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;116300
LIHS-2107510135;"GRATA COPA ENTORCHADA 3."" X M14 12.500RPM REF. 2107558150";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;146600
LIHS-2107558150;"GRATA COPA ENTORCHADA 3."" X 5/8"" 12.500RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;82800
LIHS-2110014135;"GRATA COPA ENTORCHADA 4"" X M14 X 2 8.500 RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;235500
LIHS-2110058150;"GRATA COPA ENTORCHADA 4"" X 5/8"" 8.500 RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;298100
LIHS-2112014135;"GRATA COPA ENTORCHADA 5"" X M14 X 2";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;262500
LIHS-2112058150;"GRATA COPA ENTORCHADA 5"" X 5/8"" 6.500 RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;54400
LIHS-3105006230;"GRATA COPA LISA 2"" EN BLISTERREF.3105006230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;222500
LIHS-3107506230;"GRATA COPA LISA 3"" X 5/8"" EN BLISTER REF. 3107506230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;260000
LIHS-4310058150;"GRATA CIRCULAR ENTORCHADA 4"" EJE 5/8"" 12.500 RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;247300
LIHS-4311514135;"GRATA CIRCULAR ENTORCHADA 4"" X M14 REF.";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;74900
LIHS-4317558150;"GRATA CIRCULAR ENTORCHADA 7"" EJE 5/8""";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;173900
LIHS-4320014150;"GRATA CIRCULAR ENTORCHADA 7"" X M14 12500";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;207200
LIHS-5305006230;"GRATA CIRCULAR 50M VASTAGO 1/4"" REF. 53050006230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;8500
LIHS-5307506230;"GRATA CIRCULAR 75M VASTAGO 1/4"" REF.5307506230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;38600
LIHS-9033000005;KIT DE GRATA CIRCULAR LISA VASTAGO 1/4 REF 9033000005;CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;87100
LIHS-9053310004;KIT DE CEPILLOS / GRATAS VASTAGO DE 1/4 4 PZAS REF. 9053310004;CEPILLOS Y GRATAS;CEPILLOS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;226900
LIHS-911111107;"KIT DE GRATA CIRCULAR / COPA 5/8"" MAS CEPILLO 5 PZAS REF. 911111107";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;83300
NIK-0107514230;"GRATA COPA LISA DE 3"" X M14 REF 0107514230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;39100
NIK-0107558230;"GRATA COPA LISA DE 3"" EJE 5/8""";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;157200
NIK-0110058230;"GRATA COPA LISA 4"" X 5/8"" 8.500 RPM REF. 0110058230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;211300
NIK-0112558230;"GRATA COPA LISA 5"" X 5/8"" 6.500 RPM REF. 0112558230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;85000
NIK-017330001;CEPILLO CURVO MANGO PLASTICO REF.017330001;CEPILLOS Y GRATAS;CEPILLOS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;281900
NIK-0312530230;"GRATA CIRCULAR LISA 5"" 125 MM 8.500 RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;256500
NIK-0315050230;"GRATA CIRCULAR LISA 6"" REF. 6.OOO RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;8800
NIK-077133319;CEPILLO MADERA EN ACERO 3X19 REF.077133319;CEPILLOS Y GRATAS;CEPILLOS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;89700
NIK-077430319;CEPILLO MADERA EN ACERO INOXIDABLE 3X19 REF.077430319;CEPILLOS Y GRATAS;CEPILLOS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;195600
NIK-2106558150;"GRATA COPA ENTORCHADA 2.1/2"" X 5/8"" CALIBRE 0,50";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;88200
NIK-2107558150;"GRATA COPA ENTORCHADA 3."" X 5/8"" 12.500RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;112600
NIK-2110058150;"GRATA COPA ENTORCHADA 4"" X 5/8"" 8.500 RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;198000
NIK-2112058150;"GRATA COPA ENTORCHADA 5"" X 5/8"" 6.500 RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;255500
NIK-3105006230;"GRATA COPA LISA 2"" EN BLISTERREF.3105006230";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;198400
NIK-4310058150;"GRATA CIRCULAR ENTORCHADA 4"" EJE 5/8"" 12.500 RPM";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;116700
NIK-4317558150;"GRATA CIRCULAR ENTORCHADA 7"" EJE 5/8""";CEPILLOS Y GRATAS;GRATAS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;250300
NIK-911111107;CEPILLO PROFESIONAL/SET 7PC;CEPILLOS Y GRATAS;CEPILLOS;GRUPO NIKATTO;Herramientas Industriales;industrial:abrasivo;alta;60400
DA-AMARILLO;MARCADOR PARA METAL AMARILLO REF.26063 DALO;DALO MARKER;DALO MARKER;GRUPO IMPORTADOS;Herramientas Industriales;industrial;alta;227100
DA-AZUL;MARCADOR PARA METAL AZUL DALO REF. 26013;DALO MARKER;DALO MARKER;GRUPO IMPORTADOS;Herramientas Industriales;industrial;alta;291800
DA-BLANCO;MARCADOR PARA METAL BLANCO DALO REF. 26083;DALO MARKER;DALO MARKER;GRUPO IMPORTADOS;Herramientas Industriales;industrial;alta;32500
DA-ROJO;MARCADOR PARA METAL ROJO DALO REF. 26023;DALO MARKER;DALO MARKER;GRUPO IMPORTADOS;Herramientas Industriales;industrial;alta;157000
DA-TEXTIL A;MARCADOR PARA TEXTIL AMARILLO DALO REF. 23063;DALO MARKER;DALO MARKER;GRUPO IMPORTADOS;Herramientas Industriales;industrial;alta;119200
DA-TEXTIL BL;MARCADOR PARA TEXTIL BLANCO DALO RF. 23083;DALO MARKER;DALO MARKER;GRUPO IMPORTADOS;Herramientas Industriales;industrial;alta;259000
DA-TEXTIL N;MARCADOR PARA TEXTIL NEGRO DALO REF. 23033;DALO MARKER;DALO MARKER;GRUPO IMPORTADOS;Herramientas Industriales;industrial;alta;159600
DA-TEXTIL R;MARCADOR PARA TEXTIL ROJO DALO RF. 23023;DALO MARKER;DALO MARKER;GRUPO IMPORTADOS;Herramientas Industriales;industrial;alta;278700
METAL-AZUL;MARCADOR PARA METAL AZUL;DALO MARKER;DALO MARKER;GRUPO IMPORTADOS;Herramientas Industriales;industrial;alta;265200
METAL-NEGRO;MARCADOR PARA METAL NEGRO;DALO MARKER;DALO MARKER;GRUPO IMPORTADOS;Herramientas Industriales;industrial;alta;123900
DI-AL 1080;"DISCO CORTE ALUMINIO 80 DIENTES 10""X1""";DISCOS DE ALUMINIO;DISCOS PARA ALUMINIO;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;128400
DI-AL 1280;"DISCO CORTE ALUMINIO 80 DIENTES 12""X1""";DISCOS DE ALUMINIO;DISCOS PARA ALUMINIO;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;82700
DI-AL10X60;"DISCO TUNGSTENO ALUMINIO 10X60X5/8""";DISCOS DE ALUMINIO;DISCOS PARA ALUMINIO;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;111600
DI-AL12X40;"DISCO TUNGSTENO ALUMINIO 12X40X1""";DISCOS DE ALUMINIO;DISCOS PARA ALUMINIO;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;76800
NIK-12640;"DISCO DE TRONZADORA PARA CORTE DE METAL DE 14"" EJE DE 1"" ESPESOR 3/32""";DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;118700
NIK-12820;DISCO DE CORTE PARA METAL TIPO 42 4-1/2X1/8X7/8 PULG;DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;22000
NIK-12830;"DISCO ABRASIVO DESBASTE TIPO 27 4-1/2 "" X 1/4"" X 7/8 "" (115 X 6 X 22.2 MM)";DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;168700
NIK-12840;DISCO DE CORTE PARA METAL TIPO 42 7X1/8X7/8 PULG;DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;137600
NIK-12850;"DISCO ABRASIVO DESBASTE TIPO 27 7 "" X 1/4 "" X 7/8 """;DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;99200
NIK-12862;"DISCO FINO CORTE METAL & ACERO INOX T41 4-1/2"" X 0.045 ""X 7/8""";DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;86800
NIK-12865;"DISCO FINO CORTE METAL & ACERO INOX. TIPO 41 7"" X 1/16 "" X 7/8""";DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;13800
NIK-12867;"DISCO FINO CORTE METAL & ACERO INOX T41 9"" X .5/64 ""X 7/8""";DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;65600
NIK-16308;"DISCO FLAP 4-1/2""X7/8"" G60";DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;29100
NIK-16309;"DISCO FLAP 4-1/2""X7/8"" G80";DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;174200
PROWE-12640;"DISCO DE TRONZADORA PARA CORTE DE METAL DE 14"" EJE DE 1"" ESPESOR 3/32""";DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;147800
PROWE-12850;"DISCO ABRASIVO DESBASTE TIPO 27 7 "" X 1/4 "" X 7/8 """;DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;26300
PROWE-12865;"DISCO FINO CORTE METAL & ACERO INOX. TIPO 41 7"" X 1/16 "" X 7/8""";DISCOS ABRASIVOS;DISCOS ABRASIVOS;GRUPO NIKATTO;Herramientas de Corte;corte;alta;120200
DI-14;"DISCO DIAMANTADO SEGMENTADO 14"" (350MM) X 24D X 1""";DISCOS DIAMANTADOS;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;26600
DI-16;"DISCO DIAMANTADO PARA CONCRETO 16"" (405MM)";DISCOS DIAMANTADOS;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;112600
DI-18;"DISCO DIAMANTADO PARA CONCRETO 18"" (455MM)";DISCOS DIAMANTADOS;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;8200
DI-4;"DISCO DIAMANTADO SEGMENTADO PARA CONCRETO 4""-1/2"" (115MM)";DISCOS DIAMANTADOS;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;57700
DI-7;"DISCO DIAMANTADO SEGMENTADO 7"" (178MM) X 14D X 5/8""";DISCOS DIAMANTADOS;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;110800
DI-7T;"DISCO DIAMANTADO TURBO 7""(178MM) X 14D X 5/8"" HYSSA";DISCOS DIAMANTADOS;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;106600
DI-9;"DISCO DIAMANTADO SEGMENTADO 9"" (230MM) X 16D X 7/8""";DISCOS DIAMANTADOS;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;120900
DI-CON-4;"DISCO DIAMANTADO TIPO CONTINUO PARA CONCRETO 4""-1/2"" (115MM)";DISCOS DIAMANTADOS;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;46600
DI-TUR-4;"DISCO DIAMANTADO TIPO TURBO PARA CONCRETO 4""-1/2"" (115MM)";DISCOS DIAMANTADOS;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;75800
DI-TUR-9;"DISCO DIAMANTADO TIPO TURBO PARA CONCRETO 9"" (230MM) X 22.23MM";DISCOS DIAMANTADOS;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;27600
DI-MAD 1060;"DISCO CORTE MADERA 60 DIENTES 10""X1""";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;101000
DI-MAD 424;DISCO CORTE MADERA 24 DIENTES 4-1/2 X 7/8 X 5/8;DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;162000
DI-MAD 440;DISCO CORTE MADERA 40 DIENTES 4-1/2 X 7/8 X 5/8;DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;46800
DI-MAD 724;"DISCO CORTE MADERA 24 DIENTES 7-1/4X1""X5/8 CON ADAPTADOR DE 3/4 Y 7/8";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;167200
DI-MAD 740;"DISCO CORTE MADERA 40 DIENTES 7-1/4X1""X5/8 CON ADAPTADOR DE 3/4 Y 7/8";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;167600
DI-MAD 760;"DISCO CORTE MADERA 60 DIENTES 7-1/4X1""X5/8 CON ADAPTADOR DE 3/4 Y 7/8";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;156200
DI-MAD 780;"DISCO CORTE MADERA 80 DIENTES 7-1/4X1""X5/8 CON ADAPTADOR DE 3/4 Y 7/8";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;158900
DI-MAD 824;"DISCO CORTE MADERA 24 DIENTES 8-1/4X1""X5/8 CON ADAPTADOR DE 3/4 Y 7/8";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;126300
DI-MAD 840;"DISCO CORTE MADERA 40 DIENTES 8-1/4X1""X5/8 CON ADAPTADOR DE 3/4 Y 7/8";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;28700
DI-W10X24;"DISCO TUNGSTENO MADERA 10X24X5/8""";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;57200
DI-W10X80;"DISCO TUNGSTENO MADERA 10X80X5/8""";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;162400
DI-W7X40;"DISCO TUNGSTENO MADERA 7.1/4X40X5/8""";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;51400
DI-W8X40;"DISCO TUNGSTENO MADERA 8.1/4X40X5/8""";DISCOS DE MADERA;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;Herramientas de Corte;corte;alta;31600
GEN-PW1500;GENERADOR DE GASOLINA, MOTOR 2.8HP, POTENCIA NOMINAL 1.1 KW, 110-60HZ,12V,DC TANQUE COMBUSTIBLE: 6 LITROS;GENERADORES;GENERADORES;GRUPO PROWELD;Herramientas Eléctricas;electrica;alta;1774100
GEN-PW2200E2;GENERADOR DE GASOLINA-SOLDADOR, MOTOR 15.0HP, ARRANQUE ELECTRICO CON BATERIA 18AH, CORRIENTE MAXIMA 220A, CAPACIDAD DE ENTRADA 5.0KW, CORRIENTE SOLDADURA 50-220A, 110/220V-60HZ,1X12V, DC;GENERADORES;GENERADORES;GRUPO PROWELD;Herramientas de Soldadura;soldadura;alta;1652700
GEN-PW2500;GENERADOR DE GASOLINA, MOTOR 5.5HP, POTENCIA NOMINAL 2.4 KW, 110/220V-60HZ,12V,DC TANQUE COMBUSTIBLE: 15 LITROS;GENERADORES;GENERADORES;GRUPO PROWELD;Herramientas Eléctricas;electrica;alta;1606000
GEN-PW5500E2;GENERADOR DE GASOLINA, MOTOR 13.0HP, POTENCIA NOMINAL 5.0 KW, 110/220V-60HZ,12V,DC TANQUE COMBUSTIBLE: 25 LITROS;GENERADORES;GENERADORES;GRUPO PROWELD;Herramientas Eléctricas;electrica;alta;2301900
